nohup: ignoring input
cali4 2019 5
cali4 2019 6
cali4 2019 7
cali4 2019 8
cali4 2019 9
cali4 2019 10
cali4 2019 11
cali4 2019 12
cali5 2019 1
cali5 2019 2
cali5 2019 3
cali5 2019 4
cali5 2019 5
cali5 2019 6
cali5 2019 7
cali5 2019 8
cali5 2019 9
cali5 2019 10
cali5 2019 11
cali5 2019 12
cali6 2019 1
cali6 2019 2
cali6 2019 3
cali6 2019 4
cali6 2019 5
cali6 2019 6
cali6 2019 7
cali6 2019 8
cali6 2019 9
cali6 2019 10
cali6 2019 11
cali6 2019 12
cali7 2019 1
cali7 2019 2
cali7 2019 3
cali7 2019 4
cali7 2019 5
cali7 2019 6
cali7 2019 7
cali7 2019 8
cali7 2019 9
cali7 2019 10
cali7 2019 11
cali7 2019 12
cali8 2019 1
cali8 2019 2
cali8 2019 3
cali8 2019 4
cali8 2019 5
cali8 2019 6
cali8 2019 7
cali8 2019 8
cali8 2019 9
cali8 2019 10
cali8 2019 11
cali8 2019 12
cali9 2019 1
cali9 2019 2
cali9 2019 3
cali9 2019 4
cali9 2019 5
cali9 2019 6
cali9 2019 7
cali9 2019 8
cali9 2019 9
cali9 2019 10
cali9 2019 11
cali9 2019 12
cali10 2019 1
cali10 2019 2
cali10 2019 3
cali10 2019 4
cali10 2019 5
cali10 2019 6
cali10 2019 7
cali10 2019 8
cali10 2019 9
cali10 2019 10
cali10 2019 11
cali10 2019 12
cali11 2019 1
cali11 2019 2
cali11 2019 3
cali11 2019 4
cali11 2019 5
cali11 2019 6
cali11 2019 7
cali11 2019 8
cali11 2019 9
cali11 2019 10
cali11 2019 11
cali11 2019 12
cali12 2019 1
cali12 2019 2
cali12 2019 3
cali12 2019 4
cali12 2019 5
cali12 2019 6
cali12 2019 7
cali12 2019 8
cali12 2019 9
cali12 2019 10
cali12 2019 11
cali12 2019 12
wash1 2019 1
wash1 2019 2
wash1 2019 3
